status,selection_basis,w_ce_score,w_embedding_score,w_hand_score,w_source_rank,w_ce_rank,w_embedding_rank,w_hand_rank,cv_claims_with_evidence,cv_macro_recall@1,cv_micro_recall@1,cv_hit_any@1,cv_evidence_f@1,cv_macro_recall@3,cv_micro_recall@3,cv_hit_any@3,cv_evidence_f@3,cv_macro_recall@5,cv_micro_recall@5,cv_hit_any@5,cv_evidence_f@5,cv_macro_recall@10,cv_micro_recall@10,cv_hit_any@10,cv_evidence_f@10,cv_macro_recall@64,cv_micro_recall@64,cv_hit_any@64,cv_evidence_f@64,cv_macro_recall@100,cv_micro_recall@100,cv_hit_any@100,cv_evidence_f@100,cv_macro_recall@500,cv_micro_recall@500,cv_hit_any@500,cv_evidence_f@500,dev_claims_with_evidence,dev_macro_recall@1,dev_micro_recall@1,dev_hit_any@1,dev_evidence_f@1,dev_macro_recall@3,dev_micro_recall@3,dev_hit_any@3,dev_evidence_f@3,dev_macro_recall@5,dev_micro_recall@5,dev_hit_any@5,dev_evidence_f@5,dev_macro_recall@10,dev_micro_recall@10,dev_hit_any@10,dev_evidence_f@10,dev_macro_recall@64,dev_micro_recall@64,dev_hit_any@64,dev_evidence_f@64,dev_macro_recall@100,dev_micro_recall@100,dev_hit_any@100,dev_evidence_f@100,dev_macro_recall@500,dev_micro_recall@500,dev_hit_any@500,dev_evidence_f@500
strict-candidate,train_kfold,0.25,0.25,0.0,0.0,0.0,0.25,0.25,245.6,0.09021376030086832,0.07342975834059236,0.2467164426746308,0.12323190089043748,0.19144416791106686,0.16101076033387543,0.41204247552679607,0.17212896726634905,0.24989535976992422,0.21645184707897971,0.48781151484984236,0.17228335716787685,0.328767822576185,0.2969716347871286,0.5806636801061889,0.14638992079211094,0.5125549471821249,0.48740778509574556,0.7638958022233284,0.048233337143917775,0.5432736021237764,0.5199102562906435,0.7883325037332006,0.03360836268053973,0.5924624744206626,0.5725928710588313,0.8282263149162103,0.007630645937168797,154.0,0.12218614718614719,0.09164969450101833,0.2922077922077922,0.1590909090909091,0.23766233766233766,0.1955193482688391,0.474025974025974,0.20426716141001858,0.3077922077922078,0.26883910386965376,0.564935064935065,0.20554524840239127,0.38463203463203466,0.3421588594704684,0.6558441558441559,0.1615728427416739,0.5807359307359308,0.5498981670061099,0.8441558441558441,0.05176175390426155,0.6091991341991342,0.5845213849287169,0.8636363636363636,0.035914984985691796,0.6604978354978355,0.6374745417515275,0.8896103896103896,0.008067961879147751
strict-candidate,train_kfold,0.25,0.25,0.0,0.25,0.0,0.25,0.0,245.6,0.09005049499474586,0.07318100212168688,0.24590011614401858,0.12295979204690007,0.1912809026049444,0.16077546621622835,0.4112261489961838,0.17192488563369598,0.25050677506775065,0.2169260898226722,0.48781151484984236,0.17269726179283174,0.328767822576185,0.2969716347871286,0.5806636801061889,0.14638992079211094,0.5125549471821249,0.48740778509574556,0.7638958022233284,0.048233337143917775,0.543110336817654,0.519661500071738,0.7883325037332006,0.03359281360376616,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.12218614718614719,0.09164969450101833,0.2922077922077922,0.1590909090909091,0.23766233766233766,0.1955193482688391,0.474025974025974,0.20426716141001858,0.3074675324675325,0.26883910386965376,0.5714285714285714,0.20540094825809113,0.38755411255411254,0.34623217922606925,0.6623376623376623,0.16336628739226142,0.581060606060606,0.5498981670061099,0.8441558441558441,0.051764521809842756,0.6108225108225108,0.5865580448065173,0.8636363636363636,0.03603986011056693,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.25,0.25,0.0,0.0,0.25,0.25,0.0,245.6,0.08927963055140756,0.07294184233098336,0.24509374481499915,0.12220341795254688,0.19124135833195066,0.1605296809572247,0.41041645926663345,0.17183307655233987,0.24939317515624135,0.2164585203420361,0.4845528455284553,0.17223425274097254,0.32702748741773136,0.29553278250882753,0.5749593495934959,0.14568138824286164,0.5116761794148553,0.48618737154461505,0.763086112493778,0.048115062716695564,0.5428647751783641,0.5196588381257726,0.7875128588020575,0.03359229307034955,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.11893939393939394,0.08961303462321792,0.2857142857142857,0.15476190476190477,0.2409090909090909,0.1975560081466395,0.4805194805194805,0.20686456400742115,0.3064935064935065,0.2668024439918534,0.5714285714285714,0.20424654710368997,0.3891774891774892,0.34826883910386963,0.6623376623376623,0.16429393117704805,0.581060606060606,0.5498981670061099,0.8441558441558441,0.051764521809842756,0.6108225108225108,0.5865580448065173,0.8636363636363636,0.03603986011056693,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.25,0.25,0.0,0.0,0.0,0.5,0.0,245.6,0.08923881422487694,0.07294184233098336,0.24509374481499915,0.12214899618383938,0.1912007079254466,0.16053364447955956,0.4104131408661026,0.1718040405476941,0.25022012056855264,0.21720067983238303,0.48780819644931145,0.1728027579595524,0.3271772025883524,0.29599752667359647,0.5765886842541895,0.1458804667485603,0.5116355290083513,0.48520626342822276,0.7638991206238593,0.048021904535458036,0.5425395719263315,0.5191808930789257,0.7858868425418948,0.03356132133206073,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.12218614718614719,0.09164969450101833,0.2922077922077922,0.1590909090909091,0.23766233766233766,0.1955193482688391,0.474025974025974,0.20426716141001858,0.3064935064935065,0.2668024439918534,0.5714285714285714,0.20424654710368997,0.3878787878787879,0.34623217922606925,0.6623376623376623,0.1634281303112472,0.5832251082251082,0.5519348268839104,0.8441558441558441,0.051958357824574294,0.6079004329004328,0.5824847250509165,0.8636363636363636,0.035791299147720244,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.25,0.25,0.0,0.25,0.25,0.0,0.0,245.6,0.09066273989270504,0.07367851455949784,0.24753276920524306,0.12383054034621979,0.19066932138709142,0.16077181170783,0.4087871246059399,0.1717507881201261,0.2513182899175931,0.2174274679335396,0.489434212709474,0.17309643904019217,0.3290923621481113,0.29649739204343617,0.5790343454454953,0.1462120947466891,0.5127344173441734,0.48715171986004335,0.7647154471544716,0.04820989592469345,0.5441695702671312,0.5208521163097282,0.7891455118632819,0.03367082669053397,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.12218614718614719,0.09164969450101833,0.2922077922077922,0.1590909090909091,0.23766233766233766,0.1955193482688391,0.474025974025974,0.20426716141001858,0.3074675324675325,0.26883910386965376,0.5714285714285714,0.20540094825809113,0.38755411255411254,0.34623217922606925,0.6623376623376623,0.16336628739226142,0.5836580086580087,0.5539714867617108,0.8441558441558441,0.05214095696888661,0.6108225108225108,0.5865580448065173,0.8636363636363636,0.03603986011056693,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.25,0.25,0.0,0.0,0.5,0.0,0.0,245.6,0.08976677174935013,0.07270973033789623,0.2442774182843869,0.12247331452906365,0.19083153586637908,0.16053651759018295,0.4096001327360212,0.17175011653906627,0.2511851114429512,0.2171748938363339,0.4869951883192301,0.1729399659205533,0.3284229301476688,0.29603969567628363,0.5757723577235773,0.14598994611936375,0.5117181571815718,0.48665795977990917,0.7630894308943089,0.04816096828609579,0.5437600796416128,0.5206138512321793,0.7883258669321387,0.03365469387271462,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.11893939393939394,0.08961303462321792,0.2857142857142857,0.15476190476190477,0.2409090909090909,0.1975560081466395,0.4805194805194805,0.20686456400742115,0.30616883116883115,0.2668024439918534,0.564935064935065,0.20410224695938983,0.38755411255411254,0.34623217922606925,0.6623376623376623,0.16336628739226142,0.5836580086580087,0.5539714867617108,0.8441558441558441,0.05214095696888661,0.6121212121212121,0.5885947046843177,0.8636363636363636,0.03616354594853848,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.5,0.5,0.0,0.0,0.0,0.0,0.0,245.6,0.08927963055140756,0.07294184233098336,0.24509374481499915,0.12220341795254688,0.1902217797688181,0.16005543821353224,0.4096001327360212,0.17119262524986767,0.25061600575189424,0.21645168370907783,0.4861821801891488,0.17241602734783426,0.3279771030363365,0.29625865458204886,0.5757756761241082,0.1460675564687511,0.5111877108567005,0.4854512194946953,0.763086112493778,0.04804427017203542,0.5425395719263315,0.5191808930789257,0.7858868425418948,0.03356132133206073,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.11893939393939394,0.08961303462321792,0.2857142857142857,0.15476190476190477,0.2409090909090909,0.1975560081466395,0.4805194805194805,0.20686456400742115,0.3064935064935065,0.2668024439918534,0.5714285714285714,0.20424654710368997,0.3891774891774892,0.34826883910386963,0.6623376623376623,0.16429393117704805,0.581060606060606,0.5498981670061099,0.8441558441558441,0.051764521809842756,0.6079004329004328,0.5824847250509165,0.8636363636363636,0.035791299147720244,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.5,0.25,0.0,0.0,0.0,0.25,0.0,245.6,0.09055616392898622,0.07372745467451977,0.24753940600630497,0.1241050826834799,0.1886161716719208,0.15977459727008125,0.40471212875394064,0.1705233512684981,0.2508720203528566,0.21673504768185686,0.4902439024390244,0.17252188432477134,0.32870610032630937,0.29701922999865615,0.5782014269122283,0.14636433142655142,0.5135481444610365,0.48738351410048997,0.7647121287539406,0.048235638581839616,0.5445847021735524,0.5210753632178661,0.7899552015928323,0.033685701063318974,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.11764069264069264,0.08757637474541752,0.2792207792207792,0.1525974025974026,0.23896103896103893,0.19959266802443992,0.4805194805194805,0.20783858998144714,0.305952380952381,0.26476578411405294,0.551948051948052,0.20303545660688518,0.3852813852813853,0.34012219959266804,0.6558441558441559,0.16092349209232326,0.578030303030303,0.5478615071283096,0.8376623376623377,0.05156506735990161,0.6121212121212121,0.5885947046843177,0.8636363636363636,0.03616354594853848,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.5,0.25,0.0,0.0,0.25,0.0,0.0,245.6,0.09055616392898622,0.07372745467451977,0.24753940600630497,0.1241050826834799,0.18845290636579834,0.1595393031524342,0.4038958022233284,0.17031926963584504,0.2501502682373763,0.2167418843148151,0.48861124937779987,0.17238970137028872,0.3280545323820585,0.29581880616780587,0.5782014269122283,0.14583269205767962,0.5145650683037443,0.48884209487989094,0.7655284552845528,0.04837747403641735,0.5465408992865439,0.5222984387149618,0.7915845362535258,0.033764785421847056,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.11764069264069264,0.08757637474541752,0.2792207792207792,0.1525974025974026,0.23896103896103893,0.19959266802443992,0.4805194805194805,0.20783858998144714,0.3046536796536796,0.26272912423625255,0.5454545454545454,0.20173675530818388,0.3852813852813853,0.34012219959266804,0.6558441558441559,0.16092349209232326,0.5793290043290044,0.5498981670061099,0.8376623376623377,0.051753284939423536,0.6121212121212121,0.5885947046843177,0.8636363636363636,0.03616354594853848,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.75,0.25,0.0,0.0,0.0,0.0,0.0,245.6,0.08990260494441679,0.07323991319947079,0.24590343454454952,0.12317902770864445,0.18832940655937172,0.1590622350928746,0.40226978596316576,0.16992366098588102,0.25116475858636134,0.2169456138865113,0.4877982412477186,0.17276484655031196,0.32935119738952495,0.29676657577803933,0.5798208063713289,0.14631157990839425,0.5148380620540899,0.48953534432410495,0.7647154471544716,0.048447052059403604,0.5460554725955422,0.5220433005210693,0.792400862784138,0.03374864967418763,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.11893939393939394,0.08961303462321792,0.2857142857142857,0.15476190476190477,0.2333333333333333,0.1934826883910387,0.4675324675324675,0.20188620902906618,0.3033549783549784,0.2606924643584521,0.5454545454545454,0.2004380540094826,0.37943722943722946,0.3340122199592668,0.6493506493506493,0.15810963927847044,0.5764069264069264,0.5458248472505092,0.8376623376623377,0.05137408187479848,0.6108225108225108,0.5865580448065173,0.8636363636363636,0.036039860110566924,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
