method_id,label,category,source,status,max_candidate_count,avg_candidate_count,min_candidate_count,num_claims,num_claims_with_evidence,missing_pool_claims,top_n,macro_recall,micro_recall,hit_any
single_structured,structured,single_sparse,round18/outputs/o_sparse/o_s2_structured/dev_full_dev_decomposed_candidates.json,ok,500,500.0,500,154,154,0,2000,,,0
single_prf,PRF,single_sparse,round18/outputs/o_sparse/o_s3_prf/candidate_pool_prf_top500.json,ok,500,500.0,500,154,154,0,1,0.03961038961038961,0.034623217922606926,17
single_prf,PRF,single_sparse,round18/outputs/o_sparse/o_s3_prf/candidate_pool_prf_top500.json,ok,500,500.0,500,154,154,0,3,0.11255411255411255,0.09368635437881874,40
single_prf,PRF,single_sparse,round18/outputs/o_sparse/o_s3_prf/candidate_pool_prf_top500.json,ok,500,500.0,500,154,154,0,5,0.13517316017316017,0.11812627291242363,47
single_prf,PRF,single_sparse,round18/outputs/o_sparse/o_s3_prf/candidate_pool_prf_top500.json,ok,500,500.0,500,154,154,0,10,0.1856060606060606,0.1629327902240326,61
single_prf,PRF,single_sparse,round18/outputs/o_sparse/o_s3_prf/candidate_pool_prf_top500.json,ok,500,500.0,500,154,154,0,20,0.2501082251082251,0.22810590631364563,75
single_prf,PRF,single_sparse,round18/outputs/o_sparse/o_s3_prf/candidate_pool_prf_top500.json,ok,500,500.0,500,154,154,0,32,0.2896103896103896,0.26883910386965376,81
single_prf,PRF,single_sparse,round18/outputs/o_sparse/o_s3_prf/candidate_pool_prf_top500.json,ok,500,500.0,500,154,154,0,50,0.3300865800865801,0.3075356415478615,89
single_prf,PRF,single_sparse,round18/outputs/o_sparse/o_s3_prf/candidate_pool_prf_top500.json,ok,500,500.0,500,154,154,0,64,0.3562770562770563,0.3340122199592668,93
single_prf,PRF,single_sparse,round18/outputs/o_sparse/o_s3_prf/candidate_pool_prf_top500.json,ok,500,500.0,500,154,154,0,100,0.42673160173160174,0.395112016293279,106
single_prf,PRF,single_sparse,round18/outputs/o_sparse/o_s3_prf/candidate_pool_prf_top500.json,ok,500,500.0,500,154,154,0,200,0.507034632034632,0.47657841140529533,116
